0,Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,Community Areas,00000000000000000000000000000000000000000
554,a1f026ad494514d9737cc3f0572225182a980964,12c7bf07d7dd9df102a356c6982655a844915506fc914cd7036f43437314a08c93961223ea8ae5b1259572d6d6b868fe4ae601d3f3b24fb83607364b3cdca063,9/9/14 19:30,9/9/14 19:30,420,2.2,,,,,$7.05 ,$0.00 ,$0.00 ,$0.00 ,$7.05 ,Cash,,,,,,,,,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
555,0f8faf92c7d187d42ccea20a5d59c9649a7ae1bc,dc243d47dd626c004e7bf7ab6cb62959fd6e46c7e566d32730b1e09491da63021ca0d06ccf8617d7aadd7ff7c8ff8d3567cb07afacaf9c8bc208c60b8304481e,8/12/16 12:45,8/12/16 13:00,1260,3.8,,,24,8,$14.00 ,$0.00 ,$0.00 ,$0.00 ,$14.00 ,Cash,Top Cab Affiliation,41.90120699,-87.67635599,POINT (-87.676356 41.901207),41.89960211,-87.63330804,POINT (-87.633308 41.899602),25,000000000000000000000000000000000000000000000
556,c5fe372f25769f9a443b8507a1c04d9ba6e75e9b,87867da8f769326d50dd5facc1ea7d28eceefb785d5b24e363b9c5156ba00320fd6fee0520b37cdd910c0b3f377763aa205f7ceb73f1b98f359855d8bde29a59,7/5/14 22:15,7/5/14 22:30,1080,3.4,,,8,28,$11.65 ,$2.00 ,$0.00 ,$0.00 ,$13.65 ,Credit Card,,41.89960211,-87.63330804,POINT (-87.633308 41.899602),41.87400538,-87.66351755,POINT (-87.663518 41.874005),37,00000000000000000000000000000000000000000000000000000000000
557,7e0082d506bbd13e0d30876026e3614e905b48e4,c3ebfce9cb4f64d18d29e3e416e9f64dfe671eb8226d44719da28eff8fb2204be6684d86097d4ebc3eb951e8e21977035ecbcc5d96bce6105af21c56d794322a,11/3/16 1:00,11/3/16 1:15,840,0,,,24,28,$13.00 ,$0.00 ,$0.00 ,$2.50 ,$15.50 ,Cash,Taxi Affiliation Services,41.90120699,-87.67635599,POINT (-87.676356 41.901207),41.87400538,-87.66351755,POINT (-87.663518 41.874005),25,0000000000000000000000000000000000000000000
558,b722f3e2a7c09b0a25581d51a8f858cb63f0422a,fc0ac3dba8443a3386682606320f19d69e9d6c8461e07da1fd2bc38c27d9e10ad6ba8e57ac2d44519607a5d7c661f8c775f4f130ead0edd6c11ed45fbd27ffcb,1/29/16 10:15,1/29/16 10:15,360,1.3,17031080201,17031081700,8,8,$6.75 ,$1.00 ,$0.00 ,$0.00 ,$7.75 ,Credit Card,Northwest Management LLC,41.90949567,-87.6309636,POINT (-87.630964 41.909496),41.89204214,-87.63186395,POINT (-87.631864 41.892042),37,0000000000000000
559,09cc13e8377a3ed8080a1a3294dc71d9b9e5047a,f34cd9daf849e5e6a2520e87f306b32279a1719d12e6e587da972e6ae3b7807ceb01ef33bbfa0b1e35362537f40838505b90c41c3cb0da2547f7ca62a9e7835a,3/8/16 0:30,3/8/16 0:30,360,1.7,,,16,14,$7.25 ,$0.00 ,$0.00 ,$0.00 ,$7.25 ,Cash,KOAM Taxi Association,41.95358213,-87.72345239,POINT (-87.723452 41.953582),41.968069,-87.72155906,POINT (-87.721559 41.968069),16,000000000000000000000000000000000000000000000000000
560,9f1ada67f9d52e06ef6570ebbdbfb14580bc359d,ed43a7130c8be02bcfaf7efd98ba04f1a0ed96eef703b9f235c1e9b5753a9d7f342dbca0a6a288a73db4df152dcc4498d47049adb5a9e15637d04c9b6139f43a,7/17/14 14:15,7/17/14 14:30,720,2.9,17031330100,17031081500,33,8,$10.05 ,$2.00 ,$0.00 ,$0.00 ,$12.05 ,Credit Card,Taxi Affiliation Services,41.85934972,-87.61735801,POINT (-87.617358 41.85935),41.89250778,-87.62621491,POINT (-87.626215 41.892508),34,000000000000
561,9037f3e78e0658363aaf954e90133fbf028fd490,7a870612fd9e0e24b2b60d9d48cdc74dc06e5b6e52630feaa4eb1e75714239a0d5505d7828f1e200d4507ed59eaf0502b8b7b748ac879553590b9b54b0f03350,12/8/14 21:00,12/8/14 21:30,1620,18.1,17031980000,17031320100,76,32,$37.25 ,$0.00 ,$0.00 ,$2.00 ,$39.25 ,Cash,,41.97907082,-87.90303966,POINT (-87.90304 41.979071),41.88498719,-87.62099291,POINT (-87.620993 41.884987),75,00000000000000000000000000000000000000000
562,c2ea763cf54bdff7a60c40e8751969acba569532,4843164b73b38506adeff980639371f68dbfbfa4341188a5da4f11ab8e68e8dca5974c65687324cc74a197b3d7079ff22a33df0adb3d63ca21654ad1848db208,3/5/14 9:30,3/5/14 9:30,240,0,17031320400,17031839100,32,32,$4.65 ,$2.00 ,$0.00 ,$0.00 ,$6.65 ,Credit Card,Taxi Affiliation Services,41.87740612,-87.62197165,POINT (-87.621972 41.877406),41.88099447,-87.63274649,POINT (-87.632746 41.880994),38,000000000000000000
563,017ec34d3f31a88d992d3c37e42e718ed52be44d,4696b93f2b4acf482b3a4e1916b67129ddac8de7ae8f72fe6aece159d00ab10fe07b6dd538ce6e92f60a7614d7a27a927135f6f1713c04cdbbfabc23e6f52ed3,9/26/13 0:45,9/26/13 0:45,0,0,,,,,$7.05 ,$2.00 ,$0.00 ,$0.00 ,$9.05 ,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,,,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
564,fa83502225a7c119d6decbf7920c28182a2c0a7b,fa5bad36abc84e4258e1bda4620b3a29b6b8f335f8927c17191f23249f3dd2a4bcd444415712ba7790bb1fe069e2826f694929c19ec51b24749275521b02aa18,9/8/15 17:45,9/8/15 18:00,600,0,17031081700,17031280100,8,28,$6.85 ,$0.00 ,$0.00 ,$0.00 ,$6.85 ,Cash,Taxi Affiliation Services,41.89204214,-87.63186395,POINT (-87.631864 41.892042),41.88530002,-87.64280847,POINT (-87.642808 41.8853),37,00000000000000000000000000
565,620a5b56a9f7ab4b8dcd5388a38f13f17d904aa6,eab1f15d9ce3595b30694f79530b2a8f3426e6ab6e5763e9f70a266d8df81ad5abe0f996f991d0d83626ac7a632c3b4f1b669858ebff4ad7175db494ce81cfb6,3/12/13 10:30,3/12/13 10:45,960,0.3,,,7,15,$15.65 ,$0.00 ,$0.00 ,$2.00 ,$17.65 ,Cash,Taxi Affiliation Services,41.92268628,-87.64948873,POINT (-87.649489 41.922686),41.95402765,-87.76339903,POINT (-87.763399 41.954028),68,0000000000000000000000000000000000000000
566,5ba264ed6ca87ebeb364eb31fa9efd7f3dbd6663,f451123ff58e8ef1ca5e64de85da57d7cf463c5ee73e6ad1301d57c9ce7a1dc958cd2c34bc424919ca74e3fc9b6ab261bc7923a725a5c3da00f9b3138e5e0c1d,8/22/15 3:45,8/22/15 4:00,540,1.5,17031081100,17031081401,8,8,$7.05 ,$0.00 ,$0.00 ,$1.50 ,$8.55 ,Cash,KOAM Taxi Association,41.9002213,-87.62910519,POINT (-87.629105 41.900221),41.89503345,-87.61971067,POINT (-87.619711 41.895033),37,0000000000000000000000000000
567,736fbc12ea265fb0a2a61dda2ee443eaf3b92fce,0e10402fec53ef38b58f3ca981fd038e0bc6c8ffec690673298c3203ff8cc907925b53cfffbfe164d2d1fce50290920897136826a0fb877c2a381749cb9fc270,1/1/15 17:00,1/1/15 17:00,480,1.4,,,8,8,$6.65 ,$0.00 ,$0.00 ,$0.50 ,$7.15 ,Cash,,41.89960211,-87.63330804,POINT (-87.633308 41.899602),41.89960211,-87.63330804,POINT (-87.633308 41.899602),37,0000000000000000000000000000000000000000000000000000000000000000000000
568,da04ccae3b9d41566946fc7e295dd4369d7b15b8,da2c3a2246422b03d37cdbe495f15ffebc85f5a69e24ac4c7a73f9a3fdeb9efa8996ceae1d6d04fc9aa616f79f6a86831b647f3d2fdf9e0f282374649a730d07,5/31/15 1:45,5/31/15 2:00,480,2.2,,,28,7,$8.05 ,$2.00 ,$0.00 ,$1.00 ,$11.05 ,Credit Card,Choice Taxi Association,41.87400538,-87.66351755,POINT (-87.663518 41.874005),41.92268628,-87.64948873,POINT (-87.649489 41.922686),29,00000000000000000000000000000000000000
569,2680ace01ee73b4c2b32cfa272d104a8d7657232,8cb47c2831ee38d04bd33290558e9cd2af656b34b85a96ff5c735475b71a8784010e63286ee9514b41e90ce255460d09bd18efb724874687c2100d2ba6366ec3,3/10/16 10:45,3/10/16 11:30,2280,1.1,17031980000,17031081500,76,8,$45.50 ,$8.00 ,$0.00 ,$4.00 ,$57.50 ,Credit Card,Taxi Affiliation Services,41.97907082,-87.90303966,POINT (-87.90304 41.979071),41.89250778,-87.62621491,POINT (-87.626215 41.892508),75,00000000000
570,f8f6c2c5d655e0a1b78a3a1496d0126b56ae913f,7192fd1013060320f6d4a06e045600ab8ec427c2c9b138c399c4cba7d60e3d60d0bdb84689b60d45c605df21270b2c96dcec442ded0795996472e91933db52bd,2/20/16 16:00,2/20/16 17:00,3120,15.3,17031980100,17031070101,56,7,$42.00 ,$0.00 ,$0.00 ,$4.00 ,$46.00 ,Cash,Taxi Affiliation Services,41.78599852,-87.75093429,POINT (-87.750934 41.785999),41.92926299,-87.63589095,POINT (-87.635891 41.929263),53,0000000000000000
571,6c4a302022f3ece981f0cd62047746151c7e052b,3c3adc53bf9361a6e6a8a08a70ac6303921220efb83a30c7589b0169c2f8bbd4f2e7e8f5f05be624f132ce6bae55577356109350764823f36b42566dd407924c,10/12/13 13:45,10/12/13 14:00,720,0,17031842200,17031841900,8,28,$10.45 ,$0.00 ,$0.00 ,$0.00 ,$10.45 ,Cash,Taxi Affiliation Services,41.9049353,-87.64990723,POINT (-87.649907 41.904935),41.86790242,-87.64295867,POINT (-87.642959 41.867902),37,0000000000000000000
572,57739dbf5d60c8f80fd5dc0cb8610a3fad7729ec,9680ca84d7fa9fceccc37db042e708c1fd78318d410201f8b41fc95e578fabd83a10d646286b4eda4aa9c9643fe67f48bdc55d4ba086b0ea8c5f65a31d7b2ae5,11/22/13 19:45,11/22/13 20:00,660,0,17031320100,17031833100,32,28,$9.05 ,$0.00 ,$0.00 ,$3.00 ,$12.05 ,Cash,Taxi Affiliation Services,41.88498719,-87.62099291,POINT (-87.620993 41.884987),41.87906699,-87.65700503,POINT (-87.657005 41.879067),38,000000000000000000
573,cf913525c7ea1c3402695588d708dd2c3f92cfa4,c831107f0a2620a89cdf37e48f8c33d56c46e9f8bf67013018917311c9c0bd9afd0948e526c24c5cdefd159d1157e745bc53694db4f9c7ac5b75d9cf4af2006c,7/28/13 19:15,7/28/13 19:45,2220,0,17031980000,17031081202,76,8,$36.65 ,$0.00 ,$0.00 ,$2.00 ,$38.65 ,Cash,Blue Ribbon Taxi Association Inc.,41.97907082,-87.90303966,POINT (-87.90304 41.979071),41.90278805,-87.62614559,POINT (-87.626146 41.902788),75,000000000000
574,64bff298f4f8503ae84ab89f0e2edd290be65e8b,d9587fb1393e03032cd4940b45d137b4ed22d5aa753b696b2e445fd48c72b9dcc1a08b85950acdb49cc5c948701d5c59a76aa915b1ab3b8e6dd2c871d22897cf,10/23/13 22:30,10/23/13 22:45,900,6.9,17031081500,17031831900,8,6,$16.45 ,$4.11 ,$0.00 ,$0.00 ,$20.56 ,Credit Card,,41.89250778,-87.62621491,POINT (-87.626215 41.892508),41.94517045,-87.66879444,POINT (-87.668794 41.94517),37,000000000000000000000000000000000000
575,50399bab2f0f87c33e12d0976bf580865bc6f4e7,330a881b0f3d1450ebb5825aec2551ee4cd5f7c309312bb787e686b5d1dd71b161c481cfbaa49f901f266b5db69987b1b7b9f78e48fc365bc832a82ba86e36b4,8/3/14 3:15,8/3/14 3:30,660,3.7,,,8,6,$10.85 ,$0.00 ,$0.00 ,$4.00 ,$14.85 ,Cash,,41.89960211,-87.63330804,POINT (-87.633308 41.899602),41.9442266,-87.65599818,POINT (-87.655998 41.944227),37,00000000000000000000000000000000000000000000000000000000000000000000000
576,5049a67084d803322d1239271cfba8396ff82120,389f01c14b097ed951468ff163ccc71ebcb99a27e523e9d77f95a210c2eef5302033dd81e9729d042345026cdb4b589a30f1e05553813a3249052e9ec657deb0,7/14/13 3:30,7/14/13 3:45,720,0.3,,,8,6,$9.65 ,$0.00 ,$0.00 ,$0.00 ,$9.65 ,Cash,,41.89960211,-87.63330804,POINT (-87.633308 41.899602),41.9442266,-87.65599818,POINT (-87.655998 41.944227),37,00000000000000000000000000000000000000000000000000000000000000000000000
577,6776d61b265a27e3b0870af3a82840de876b81fe,c4181e3adc7c226b83c1704f51189d2b91c15f3cf7132368e235c69cc1823c9c09cfaee9db840dc8f9d1487c04c2efa8460c68a20d132249ff1ccbe611783e90,10/19/14 18:45,10/19/14 19:30,2340,17.9,17031281900,17031980000,28,76,$36.85 ,$2.00 ,$0.00 ,$2.00 ,$40.85 ,Credit Card,Taxi Affiliation Services,41.87925508,-87.642649,POINT (-87.642649 41.879255),41.97907082,-87.90303966,POINT (-87.90304 41.979071),29,000000000
578,2779b93221bd06ea3ec225897462be795c9c9e02,da8b538d2ba568160ef297c19d5937da010d5cda8d3ea7c898964f90f831c32df752030f000bf676fb4ed0491f9212a69a58512e03b38f53784587847ef47c05,3/1/13 3:15,3/1/13 3:15,180,0,,,7,7,$4.45 ,$0.00 ,$0.00 ,$1.50 ,$5.95 ,Cash,Blue Ribbon Taxi Association Inc.,41.92268628,-87.64948873,POINT (-87.649489 41.922686),41.92268628,-87.64948873,POINT (-87.649489 41.922686),68,00000000000000000000000000000000000000000
579,e0e584941e5fa5e76302c9fbdc75fa8110db6fd8,d838e92d6b588e5051410f9646f42c45c96ddb445d28a72bb7b4a8f209821ac53379877d4f01d8610761ef7993b1250d184afa1c0da3c0313e03c71c05daa3a6,11/12/14 19:30,11/12/14 19:45,960,7.8,,,32,21,$18.25 ,$3.65 ,$0.00 ,$0.00 ,$21.90 ,Credit Card,,41.87886558,-87.62519214,POINT (-87.625192 41.878866),41.9386662,-87.71121059,POINT (-87.711211 41.938666),38,00000000000000000000000000000000000000000000000000000000
580,df4005467e9cf27472ad4591a18ef93037ed50f7,f1ed053acb7ee562f935ec0660878752bf1e1de1aa458b7bbaf9fafe036c83bcb2b21c12864ffe6af9e5e0184cbf3f04b784cf4895bf999e701877809ac0fceb,6/19/15 12:00,6/19/15 12:15,720,0,17031280100,17031320100,28,32,$7.65 ,$0.00 ,$0.00 ,$0.00 ,$7.65 ,Cash,Blue Ribbon Taxi Association Inc.,41.88530002,-87.64280847,POINT (-87.642808 41.8853),41.88498719,-87.62099291,POINT (-87.620993 41.884987),29,000000000000000
581,cae694044b9121b5ca7506d42594646e9d370228,1506b7c792a49f118f114fbe4ca4ef163ef3db18b8e1e44da6e6ec1d3b4d67b499780ab65c99f35ae8833ae74fbfc1b764f40ea8b6b76f5ddcb16ae005eeed0b,10/15/15 2:15,10/15/15 2:15,120,0.5,,,6,6,$4.25 ,$0.00 ,$0.00 ,$1.00 ,$5.25 ,Cash,Taxi Affiliation Services,41.9442266,-87.65599818,POINT (-87.655998 41.944227),41.9442266,-87.65599818,POINT (-87.655998 41.944227),57,000000000000000000000000000000000000000000000
582,9cd8e79bda68529c276e7b7d8497ae1e68570ce1,73052f4ccaf4e0fa9178722e491f8e5eda869f56e08aa4d659ef38139d36bd69df925ac00c96564af9fc30db0c616fb4c9312cb3ba36fe8c8cdd470750d4681d,7/4/15 22:00,7/4/15 22:00,180,0.6,17031832000,17031060900,6,6,$4.65 ,$2.00 ,$0.00 ,$1.00 ,$7.65 ,Credit Card,Taxi Affiliation Services,41.94629454,-87.65429808,POINT (-87.654298 41.946295),41.94982935,-87.64396537,POINT (-87.643965 41.949829),57,0000000000000000
583,fd64aafebcca0d34d2db9300f433e08e8b81ebbc,771cdebeb79d065831634de1f993b19478addab6ea014c3b2585a4b37d0c1c55f719f0beb8912265658e3e9586eea6d097af9f5d8799e5746b05a028352d780c,7/5/15 18:45,7/5/15 19:00,720,3.7,,,8,7,$10.85 ,$0.00 ,$0.00 ,$1.00 ,$11.85 ,Cash,,41.89960211,-87.63330804,POINT (-87.633308 41.899602),41.92268628,-87.64948873,POINT (-87.649489 41.922686),37,00000000000000000000000000000000000000000000000000000000000000000000
584,a16c9b76a76924d1621f1a5d37c828608ef5d969,8a5199a793c450f59f8ba5dcc3592de895a32081f1f86d11d0ca19101fa7fe5947b5176c07a2429e08c7305a93c50a90d2db2b860404ac15b99d9b826ec20072,1/20/16 19:30,1/20/16 20:15,2940,14.8,,,56,19,$41.00 ,$9.00 ,$0.00 ,$4.00 ,$54.00 ,Credit Card,,41.79259236,-87.76961545,POINT (-87.769615 41.792592),41.92726096,-87.76550161,POINT (-87.765502 41.927261),53,0000000000000000000000000000000000000000000000000000000
585,0934558d32a8601b5c1324228805044d38d14665,d2f0fdb3ee273b0e37ff15e49ea256f8dfdbf92d53fdf8834f33c205b211aad781e9bbbd34f0f76a8bb465a0c6c162031ced0bbf140f6425004bdc689ff4f6c2,3/30/14 9:15,3/30/14 9:15,0,0,,,,,$6.45 ,$1.29 ,$0.00 ,$0.00 ,$7.74 ,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,,,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
586,58a9694a955d6f88598a46f49e3cfeda64ec2205,17aa877caef408e722756baa6747c2b6ef228f126b70753cf78fe686786a1a534b9f294837274bd031e3a35b3a32915c263b4cc009cbd0fd62410a69ade2dd23,12/18/13 13:00,12/18/13 13:15,720,0.1,,,7,6,$9.05 ,$2.50 ,$0.00 ,$1.00 ,$12.55 ,Credit Card,Taxi Affiliation Services,41.92268628,-87.64948873,POINT (-87.649489 41.922686),41.9442266,-87.65599818,POINT (-87.655998 41.944227),68,0000000000000000000000000000000000
587,9ae49df1431d123c1c5d33c13b4100c993ea16fa,cfa98bcb1c14f38af7e0aaf051cad6d0a404c3f69aa1bcc74f030ead410d10765f3aef0b66971c6f50866bf68980b2e82aadeb6d07a2f56b291009edb046d536,7/19/13 15:45,7/19/13 16:00,1020,7.5,,,8,41,$17.85 ,$0.00 ,$0.00 ,$0.00 ,$17.85 ,Cash,,41.89960211,-87.63330804,POINT (-87.633308 41.899602),41.79409025,-87.59231086,POINT (-87.592311 41.79409),37,00000000000000000000000000000000000000000000000000000000000000000
588,f75e03197ede00d5cb62449843cd41e392225a41,867ee706a760e0221499dac80d9a7ac935bc13c5f4c4e60ca8bdcd3f476cfcc49425f0d074bc671d0c12a6ea9bd20d3f0841acbd5fbf49cfc4c67efeced7052b,9/5/13 8:00,9/5/13 8:15,300,0,,,8,6,$8.45 ,$0.00 ,$0.00 ,$0.00 ,$8.45 ,Cash,Blue Ribbon Taxi Association Inc.,41.89960211,-87.63330804,POINT (-87.633308 41.899602),41.9442266,-87.65599818,POINT (-87.655998 41.944227),37,000000000000000000000000000000000000000000
589,a3ec8ef68c669d0bb4bf37687e8aed26d56aa2a4,008e4411af8ea511e3990a1d25eb3bd4ef68314d8c2f8f21f556775b90988103dbb053d220aaf7c7bcaf92a82bb51285cf5c335635713648f3396567dd99916c,2/1/15 0:30,2/1/15 0:45,840,3.9,17031063200,17031081700,6,8,$11.45 ,$2.00 ,$0.00 ,$1.00 ,$14.45 ,Credit Card,,41.93839126,-87.63857492,POINT (-87.638575 41.938391),41.89204214,-87.63186395,POINT (-87.631864 41.892042),57,00000000000000000000000000000000000000000
590,81b66a3b571dfce569dda4cc058614dd30c07b49,a7757fb6744a93997834888d41a9677289de26a17a110d2d05940cd00a7ca6f1bdf460f3f9e9c85a7d8a27647ee6e5c8f5cb3ba36dc6e3f6e13355207175147b,12/16/16 11:30,12/16/16 11:30,180,0.5,17031839100,17031839100,32,32,$4.50 ,$3.00 ,$0.00 ,$1.00 ,$9.00 ,Credit Card,,41.88099447,-87.63274649,POINT (-87.632746 41.880994),41.88099447,-87.63274649,POINT (-87.632746 41.880994),38,00000000000000000000000000000000000
591,342e4c3ac033c12dd864c629916df604b988cd3c,daf10822810c8e9de72a9ed7a6b691c41bfba0143a411aecf48df76169f4864d2c0dca4e14f2be4dbad14d33f83d9781754538cd949a2b6783472b59b9daca0a,6/10/14 17:45,6/10/14 17:45,0,0,,,,,$18.45 ,$5.54 ,$0.00 ,$0.00 ,$23.99 ,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
592,a6728f2ec005f70d264bb65bdc1eeb53e67ab37b,bbe1b75dc49a2f0c4ab160c1c02c6257f49deb0c3314f4c0596a1ebc88f21eef2ff330072130546a2b51c7c9f64ba2fab539687312a23ebb03544decbaad0241,7/20/14 5:15,7/20/14 5:30,660,4.3,17031062100,17031081800,6,8,$11.85 ,$2.35 ,$0.00 ,$0.00 ,$14.20 ,Credit Card,Taxi Affiliation Services,41.94269184,-87.65177051,POINT (-87.651771 41.942692),41.89321636,-87.63784421,POINT (-87.637844 41.893216),57,00000000000000
593,aab39b92128308929b976bf1910e5082982c8310,40a2c6730c5957ece3555aafe3332e5ef716aa1ee7ad732af30ab9e210541444d491c65c9dcf0058158ddf6be426985a7a852f704ba8c2cab6591ca4d77e5069,7/27/15 5:30,7/27/15 6:00,1920,8.2,,,24,,$21.25 ,$0.00 ,$0.00 ,$11.50 ,$32.75 ,Cash,Taxi Affiliation Services,41.90120699,-87.67635599,POINT (-87.676356 41.901207),,,,25,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
594,170dcfc8566890908e783a6127721a5be8cd6ecc,38496688a46f369c47de2d9e0e4cd09bc55817b68a7bef5e7e5463c3f8806a1ad219732ffb138ede1875587886835735d69f1eb07e68b6b6c6171c8693b7a0fd,4/14/16 18:45,4/14/16 18:45,0,0,,,,,$16.75 ,$3.35 ,$0.00 ,$0.00 ,$20.10 ,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
595,7764b77af963a5193455eaac3e86368a691286b5,7535013d241e6f9ffa43e7214c59a54da34563b592aa2b458a9166708d6516a67166c3e2abba598bdf7556c971936cb3b1d77c52084e3b88de316ffae8657cad,9/13/14 0:30,9/13/14 1:00,1440,0.5,,,8,15,$19.85 ,$0.00 ,$0.00 ,$0.00 ,$19.85 ,Cash,Blue Ribbon Taxi Association Inc.,41.89960211,-87.63330804,POINT (-87.633308 41.899602),41.95402765,-87.76339903,POINT (-87.763399 41.954028),37,000000000000000000000000000000000
596,2d01e7d31cdd0f172b36e51a3e1ce4636a770798,82b3cdd5efb2e58630d37509a78a0ae5a304518903d92428ae41e60893e5b73e0ad5cd2c85a4bbeb9fbf7a0098c5e6174ee52044e1c1befcd3627cc6fcb10331,10/2/13 7:00,10/2/13 7:00,360,1.5,17031839100,17031081401,32,8,$6.45 ,$0.00 ,$0.00 ,$0.00 ,$6.45 ,Cash,5776 - Mekonen Cab Company,41.88099447,-87.63274649,POINT (-87.632746 41.880994),41.89503345,-87.61971067,POINT (-87.619711 41.895033),38,000000000000000000000
597,170d21ec1a1145352de3b13828c664e2f12541af,f1ed8794238deb1c8f7c3759aa096ae20e3e769cc4c9ad6b0b5622db04a03ad19f07235a1fb70f90e0402c5d563ced420495c06f0ecb27469bc95d56af5841c8,12/21/16 15:45,12/21/16 16:00,600,1,,,,,$7.25 ,$2.00 ,$0.00 ,$0.00 ,$9.75 ,Credit Card,,,,,,,,,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
598,be41c5177b3bf9d510ec0a1709d8498675ad3417,875af0d5f0bf4751ef334d77028966ba1d166cabebd0c3f87abf2f93bf56be2123b1e9281ba3abf5682b627c2307193c6d87cf036bb5b5e474dbf5a374d78e76,10/23/14 13:15,10/23/14 13:15,0,0,17031980000,17031980000,76,76,$3.25 ,$0.00 ,$0.00 ,$0.00 ,$3.25 ,Cash,,41.97907082,-87.90303966,POINT (-87.90304 41.979071),41.97907082,-87.90303966,POINT (-87.90304 41.979071),75,000000000000000000000000000000000000000000000000
599,88a114ddb40898c18023d18a0c7dbae3731f1053,66f133799b2aa4c5108142a1187b3a09ae6d0be870704a6946a2675bf36a2fbe0a5ef0a518b200a427acfbdf73e6f4ece9d71405d9d0e464d898d9ae3155efc6,5/6/16 8:00,5/6/16 8:00,540,1.3,,,8,32,$7.25 ,$0.00 ,$0.00 ,$0.00 ,$7.25 ,Cash,,41.89960211,-87.63330804,POINT (-87.633308 41.899602),41.87886558,-87.62519214,POINT (-87.625192 41.878866),37,00000000000000000000000000000000000000000000000000000000000000000000000
600,9c806860c7cf0409631146efbc2325b471683f90,874b25eb25690a1a0361023234f59edeee52101733a1ab8c9dc78c2a369cb4a37b4f1ec58a01db4305cc0f3b6a702c2c7788185321953dfdd03e9b7a854a457b,4/8/14 10:15,4/8/14 10:30,360,1.5,17031839100,17031842200,32,8,$6.25 ,$2.00 ,$0.00 ,$0.00 ,$8.25 ,Credit Card,,41.88099447,-87.63274649,POINT (-87.632746 41.880994),41.9049353,-87.64990723,POINT (-87.649907 41.904935),38,00000000000000000000000000000000000000000
601,9d702ba2e5fd78f78b7195e48df46a09145fd9fb,60ee73db6313892e9fb80150895f1036b4a82eca1b886922164d2be9c2a5c3df288c1dd2717024983cb9080a847944fcd983422d4422d62f8984664b5f59941f,4/8/13 17:45,4/8/13 17:45,0,0,17031081500,17031081500,8,8,$3.25 ,$0.00 ,$0.00 ,$1.00 ,$4.25 ,Cash,,41.89250778,-87.62621491,POINT (-87.626215 41.892508),41.89250778,-87.62621491,POINT (-87.626215 41.892508),37,0000000000000000000000000000000000000000000000000000
602,74401ae63f0c9a7f5585b8f4e88fa2a4ddc28f69,41a48c4607a84559d8760d511527018e3da952a7b33a8234bb476e04edbc3a59897c6bf50a68676f05ea3ffd1b5705d8d78e1f6926b530466299e5e15468753e,11/13/14 20:15,11/13/14 20:15,240,0.9,,,,,$5.25 ,$2.00 ,$0.00 ,$0.00 ,$7.25 ,Credit Card,,,,,,,,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
603,fa0190d3174f3742a6839d009a29eb608a999053,4412a6e6ef354516d00d2725e8da3000bf720b69024d0946d17b55729446756ef039dba55d92ac3a9e00a2f5bb89522c1785704eb04eda225d1d23e03dab7560,2/19/14 18:15,2/19/14 18:30,420,0.8,17031081700,17031081201,8,8,$5.65 ,$2.00 ,$0.00 ,$1.00 ,$8.65 ,Credit Card,Taxi Affiliation Services,41.89204214,-87.63186395,POINT (-87.631864 41.892042),41.89915561,-87.62621053,POINT (-87.626211 41.899156),37,00000000000000
604,ba136308f0e5650cb6fa3331e069a511b9edd4ed,773f5a09c0e17c0f2dbf578d94460eed4afbd064ecf448056ae74ec0bcce861f5eeb0d157bc86dc6ccd1bfb1fdc7ff4ac32ce3574114ddec7a9916b974f9acb7,12/14/15 21:45,12/14/15 22:00,480,1.4,17031081201,17031839100,8,32,$6.85 ,$4.00 ,$0.00 ,$1.00 ,$11.85 ,Credit Card,Northwest Management LLC,41.89915561,-87.62621053,POINT (-87.626211 41.899156),41.88099447,-87.63274649,POINT (-87.632746 41.880994),37,00000000000
